No.,CompanyName,Location,Roles,Citizenship/Visa Requirements,Date Added mm/dd/yyyy
84,[Cisco](https://jobs.cisco.com/jobs/SearchJobs/?21178=%5B169482%5D&21178_format=6020&21180=%5B164%5D&21180_format=6022&listFilterMode=1)," San Jose, CA", [Multiple Early in Career Engineering Roles](https://jobs.cisco.com/jobs/SearchJobs/?21178=%5B169482%5D&21178_format=6020&21180=%5B164%5D&21180_format=6022&21181=%5B187%5D&21181_format=6023&listFilterMode=1),Visa sponsorship might not be available,8/11/2023
85,[Spectrum](https://www.spectruminc.com/careers/)," Chicago, IL   Boca Raton", [Junior Software Back End Developer](https://www.spectruminc.com/careers/detail/?id=798192808143717787),-,8/10/2023
86,[TikTok](https://careers.tiktok.com/position?keywords=&category=&location=&project=7247019463362005306&type=2&job_hot_flag=&current=1&limit=10&functionCategory=&tag=&spread=5MWH5CQ)," San Jose, CA   Seattle, WA "," [Multiple Grad SWE, Machine Learning, Research Grad, Other Tech Roles - 2024 Start (BS/MS/PhD)](https://careers.tiktok.com/position?keywords=&category=&location=CT_1103355%2CCT_157&project=7247019463362005306%2C7256965535018617148&type=2&job_hot_flag=&current=1&limit=10&functionCategory=&tag=)",Work Auth required for few roles   *Can only apply to two new grad positions at a time during current cycle.*,8/10/2023
87,[Roblox](https://corp.roblox.com/),"San Mateo, CA", [Software Engineer - New Grads 2024](https://careers.roblox.com/jobs/5221252?gh_jid=5221252&gh_src=da92d0c91),Visa sponsorship might not be available,8/10/2023
88,[Deloitte](https://www2.deloitte.com/us/en/careers/careers.html),Multiple US Locations, **[Closed]**   [Full Time Software Engineer (Tax Transformation)](),-,8/9/2023
89,[PayPal]()," San Jose, CA   Chicago, IL   Scottsdale, AZ   New York City, NY   Austin, TX", **[Closed]**   [Software Engineer - Recent Graduate](),Work Auth Required,8/9/2023
90,[Boeing](https://jobs.boeing.com/entry-level)," Seattle, WA   Hazelwood, MO   North Charleston, SC", **[Closed]**  [IT Career Foundation Program - 2024](https://jobs.boeing.com/job/seattle/it-career-foundation-program-2024/185/52060570816)  [Entry Level Software Engineer](https://jobs.boeing.com/job/hazelwood/entry-level-software-engineer/185/53005463872),U.S. Citizen or Permanent Resident Required,8/8/2023
91,[StubHub](https://jobs.lever.co/StubHubHoldings?department=StubHub),"New York, NY", **[Closed]**    [Software Engineer I - New Graduates](https://jobs.lever.co/StubHubHoldings/2d1ff001-965d-444e-9e73-04f0f1e62446),-,8/7/2023
92,[WeRide.ai](https://www.weride.ai/),"San Jose, CA", [Software Engineer - New Grads 2024](https://jobs.lever.co/weride/6ee0e3cc-4f36-4224-a9b9-f5e79247ebef),-,8/7/2023
93,[X1](https://jobs.lever.co/x1creditcard/),Remote, **[Closed]**   - [New Grad Software Engineer (Backend)]()   - [New Grad Software Engineer (Product)](),-,8/7/2023
94,[U.S. Bank](https://careers.usbank.com/global/en/home),"Richfield, MN", **[Closed]**   [2024 Engineering Rotational Program](https://careers.usbank.com/global/en/job/2023-0023298/2024-Engineering-Rotational-Program),-,8/7/2023
95,[Belvedere Trading](http://www.belvederetrading.com/jobs),"Chicago, IL", [Software Engineer - Entry Level 2024 Chicago](https://jobs.lever.co/belvederetrading/d9596403-6195-4af3-9e41-279d2dd6ef4e)   [Junior Quantitative Trading Analyst - Entry Level 2024 Chicago](https://jobs.lever.co/belvederetrading/e85965d8-23f2-472d-901f-d86a01c837d0),-,8/4/2023
96,[Databricks](https://www.databricks.com/company/careers/open-positions?department=Universityrecruiting&location=all),"Mountain View, CA  San Francisco, CA  Bellevue, WA"," [Software Engineer - New Grad (2024 Start) - Mountain View, CA](https://www.databricks.com/company/careers/university-recruiting/software-engineer---new-grad-2024-start-6865698002?gh_jid=6865698002&gh_src=62a881d62)   [Software Engineer - New Grad (2024 Start) - San Francisco, CA](https://www.databricks.com/company/careers/university-recruiting/software-engineer---new-grad-2024-start-6866540002)   [Software Engineer - New Grad (2024 Start) - Bellevue, WA](https://www.databricks.com/company/careers/university-recruiting/software-engineer---new-grad-2024-start-6866542002)   [Software Engineer - New Grad, Distributed Data Systems (2024 Start) - Mountain View, CA](https://www.databricks.com/company/careers/university-recruiting/software-engineer---new-grad-distributed-data-systems-2024-start-6865704002)   [Software Engineer - New Grad, Distributed Data Systems (2024 Start) - Bellevue, WA](https://www.databricks.com/company/careers/university-recruiting/software-engineer---new-grad-distributed-data-systems-2024-start-6866556002)   [Data Scientist - New Grad (2024 Start) - San Francisco, CA](https://www.databricks.com/company/careers/university-recruiting/data-scientist---new-grad-2024-start-6866554002?gh_jid=6866554002&gh_src=62a881d62)",,8/4/2023
97,[PEAK6](https://peak6.com/careers/),"Chicago, IL", [Software Engineer I - Campus Entry Level](https://careers.peak6.com/jobs/technology/chicago-illinois-united-states-of-america/software-engineer-i-campus-entry-level/JR100526),Legal auth to work in the US,8/3/2023
98,[IMC Financial Markets](https://careers.imc.com/us/en/student-opportunities),"Chicago, IL", [Graduate Hardware Engineer](https://careers.imc.com/us/en/job/REQ-03086/Graduate-Hardware-Engineer)   [Graduate Software Engineer](https://careers.imc.com/us/en/job/REQ-03081/Graduate-Software-Engineer)   [Graduate Quant Trader](https://careers.imc.com/us/en/job/REQ-03082/Graduate-Quant-Trader)   [Graduate Quant Researcher (Masters or PhD)](https://careers.imc.com/us/en/job/REQ-03084/Graduate-Quant-Researcher),-,8/3/2023
99,[Veeva](https://www.veeva.com/)," Toronto, CA   Multiple US Locations", **[Closed]**   [Associate Software Engineer Grad](),-,8/2/2023
100,[PNC](https://careers.pnc.com/global/en/students)," Pittsburgh, PA <br/>  Cleveland, OH <br/>  Birmingham, AL <br/>  Dallas, TX", [Technology Development Program](https://careers.pnc.com/global/en/job/R141797/Technology-Development-Program%C2%A0),-,8/2/2023
101,[Palantir](https://www.palantir.com/careers/#open-positions),"New York, NY"," [Forward Deployed Software Engineer, New Grad](https://jobs.lever.co/palantir/8dcdb586-46ae-4f94-9d05-7f1989400049)   [Software Engineer, New Grad](https://jobs.lever.co/palantir/94984771-0704-446c-88c6-91ce748f6d92)",-,8/1/2023
102,[Gecko Robotics](https://www.geckorobotics.com/)," Boston, MA <br/>  Pittsburgh, PA <br/>  New York City, NY", [Software Engineer - New Grad](https://www.geckorobotics.com/careers/apply?gh_jid=5695200003&gh_src=2f1f94f93us)   [Software Engineer - Robot Systems - New Grad](https://www.geckorobotics.com/careers/apply?gh_jid=5709265003)   [Forward Deployed Engineer - New Grad](https://www.geckorobotics.com/careers/apply?gh_jid=5698627003),Visa sponsorship might not be available,7/31/2023
103,[Sentry.io](https://sentry.io/welcome/),"San Francisco, CA"," [Software Engineer, New Grad (2024)](https://boards.greenhouse.io/sentry/jobs/5193895)",Visa sponsorship is not available,7/31/2023
104,[Akuna Capital](https://akunacapital.com/),Chicago US, [Software Engineer (Entry Level) - C++](https://akunacapital.com/job-details?gh_jid=5136022)   [Platform Engineer (Entry Level)](https://akunacapital.com/job-details?gh_jid=5097583)   [Performance Engineer (Entry Level)](https://akunacapital.com/job-details?gh_jid=5083320),-,7/29/2023
105,[Chevron](),Multiple US Locations, [2023-2024: Information Technology – Software Engineering – Full Time](https://chevron.wd5.myworkdayjobs.com/University/job/Houston-Texas-United-States-of-America/XMLNAME-2023-2024--Information-Technology---Software-Engineering---Full-Time_R000043422),U.S. Citizen or Permanent Resident Required,7/20/2023
106,[Five Rings](https://fiverings.com/positions/),"New York, NY", [Software Developer – Campus Full-Time 2024 ](https://fiverings.avature.net/careers/FolderDetail/New-York-New-York-United-States-Software-Developer-Campus-Full-Time-2024/641)   [Quantitative Researcher – Campus Full-Time 2024](https://fiverings.avature.net/careers/FolderDetail/New-York-New-York-United-States-Quantitative-Researcher-Campus-Full-Time-2024/648)   [Quantitative Trader – Campus Full-Time 2024](https://fiverings.avature.net/careers/FolderDetail/New-York-New-York-United-States-Quantitative-Trader-Campus-Full-Time-2024/644),-,7/20/2023
107,[Jane Street](https://www.janestreet.com/join-jane-street/open-roles/?type=full-time-new-grad&location=new-york),"New York, NY", [New Grad SWE](https://www.janestreet.com/join-jane-street/position/6834646002/)   [New Grad Quant Researcher](https://www.janestreet.com/join-jane-street/position/6837502002/)   [New Grad Quant Trader](https://www.janestreet.com/join-jane-street/position/6837725002/)   [Other roles](https://www.janestreet.com/join-jane-street/open-roles/?type=full-time-new-grad&location=new-york),-,7/18/2023
108,[Optiver](https://optiver.com/working-at-optiver/career-opportunities/?numberposts=0&paged=1&tax_query[Level]=27)," Austin, TX   Chicago, IL", [Graduate Software Engineer (2024 Start – Austin)](https://optiver.com/working-at-optiver/career-opportunities/6837072002)   [Graduate Software Engineer (2024 Start – Chicago)](https://optiver.com/working-at-optiver/career-opportunities/6835570002/),-,7/17/2023
109,[IXL](https://www.ixl.com/company/careers?gh_jid=6843329002&gh_src=e358d0722&gh_src=9ab9c2a12),"San Mateo, CA", [New Grad SWE](https://www.ixl.com/company/careers?gh_jid=6843329002&gh_src=e358d0722&gh_src=9ab9c2a12),-,7/13/2023
110,[DRW](https://boards.greenhouse.io/drweng/jobs/5138660),"Chicago, IL <br/> Houston, TX", [Software Developer](https://boards.greenhouse.io/drweng/jobs/5138660)   [C++ Software Developer](https://boards.greenhouse.io/drweng/jobs/5152775),-,7/11/2023
111,[Trane Technologies](https://careers.tranetechnologies.com/global/en/),"St. Paul, MN <br/> Tyler, TX", **[Closed]**   [2024 Accelerated Development Program - Engineering](),Work Auth Required,7/11/2023
112,[CAT Digital](),Multiple US Locations, **[Closed]**    [New Grad SWE]()   [New Grad Data Scientist]()   [New Grad Business Analyst](),-,7/7/2023
113,[Two Sigma](https://careers.twosigma.com/careers/SearchJobs/),"New York, NY", [Quantitative Researcher - Full-Time Campus Hire](https://careers.twosigma.com/careers/SearchJobs/campus?listFilterMode=1),-,7/7/2023
114,[McKinsey & Company](https://www.mckinsey.com/careers/search-jobs/jobs/softwareengineer-universitystudents-79400),Multiple US Locations, **[Closed]**    - [New Grad SWE]()  - [New Grad Data Engineer](),-,7/6/2023
115,[Citadel](https://www.citadel.com)," New York, NY   Chicago, IL   United States", [Software Engineer – Full Time (US) ](https://www.citadel.com/careers/details/software-engineer-full-time-us/),-,7/6/2023
116,[JPMorgan Chase & Co.](https://jpmc.fa.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/requisitions?mode=location)," New York, NY   Columbus, OH   United States", [2024 Full-time Sofware Engineer Program ](https://jpmc.fa.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/job/210432967) ,Work Auth required,7/5/2023
117,[Goldman Sachs](https://www.goldmansachs.com/careers/students/programs/americas/new-analyst-program.html)," Dallas, TX   New York, NY   United States"," [All Tech Roles (SWE, Quant, etc) ](https://www.goldmansachs.com/careers/students/programs/americas/new-analyst-program.html)",-,7/1/2023
118,[Old Mission Capital](https://www.oldmissioncapital.com/careers/),"Chicago, IL", [College Graduates - Full-Time - Junior Software Engineer (2024)](https://www.oldmissioncapital.com/careers/?gh_jid=5643831003),-,6/30/2023
119,[Lockheed Martin](https://www.lockheedmartinjobs.com/job/owego/software-engineer-early-career/694/50929022432)," Owego, New York   Grand Prairie, TX", **[Closed]**   [Software Engineer - Early Career](),U.S. Citizenship and Security Clearance Required,6/28/2023
120,[LTIMindtree](),Multiple US Locations, **[Closed]**   [Digital Technology Associate Program](),-,6/20/2023
121,[Leidos](),"Manassas, VA  Bethesda, MD", **[Closed]**   [Software Developer - Entry](),-,6/20/2023
122,[Molson Coors](https://app.ripplematch.com/v2/public/job/2ff33150/details?utm_source=Github&utm_medium=organic_social&utm_campaign=growth_github&utm_content=molson&utm_term=null),"Milwaukee, WI  Fort Worth, TX", **[Closed]**   [IT Technology Solution Specialist (Rotational Program)](),-,6/20/2023
123,[MathWorks](https://www.mathworks.com/company/jobs/opportunities/16217-multiple-openings-engineering-development-group-u-s?id=16217&s_eid=Rci_19210&source=19210),"Natick, MA, US", [Multiple Openings - Engineering Development Group - U.S.](https://www.mathworks.com/company/jobs/opportunities/16217-multiple-openings-engineering-development-group-u-s?id=16217&s_eid=Rci_19210&source=19210),-,6/18/2023
124,[Boston Dynamics](https://bostondynamics.wd1.myworkdayjobs.com/en-US/Boston_Dynamics/job/Waltham-Office/Rotational-Development-Engineer_R1051),"Waltham, MA", **[Closed]**   [Rotational Development Engineer](),-,6/12/2023
125,[Capgemini](https://www.capgemini.com/jobs/N92ZBYcBf9EzbUpvy_Nu/071398-technology-consultant---new-york---campus-recruiting-2024/?utm_source=Indeed&utm_medium=organic&utm_campaign=Indeed&idOrigine=1522&jobPipeline=Indeed),"New York, NY", [Tech Consultant](https://www.capgemini.com/jobs/N92ZBYcBf9EzbUpvy_Nu/071398-technology-consultant---new-york---campus-recruiting-2024/?utm_source=Indeed&utm_medium=organic&utm_campaign=Indeed&idOrigine=1522&jobPipeline=Indeed),U.S. Citizen or Permanent Resident Required,6/12/2023
126,[Qualtrics](https://app.ripplematch.com/v2/public/job/4d7314b0/details?utm_source=Github&utm_medium=organic_social&utm_campaign=growth_github&utm_content=qualtrics&utm_term=null),"Provo, UT", [Product Specialist](https://app.ripplematch.com/v2/public/job/4d7314b0/details?utm_source=Github&utm_medium=organic_social&utm_campaign=growth_github&utm_content=qualtrics&utm_term=null),-,6/12/2023
127,[Dynatrace](),"  Denver, CO   San Mateo, CA   Detroit, MI   U.S. Remote", **[Closed]**   [Software Delivery Consultant](),-,6/10/2023
128,[SRC Inc.](https://jobs.jobvite.com/careers/src-inc/job/olAQmfwR?__jvst=Internet%20Job%20Board&__jvsd=Indeed)," Syracuse, NY   Herndon, VA   San Antonio, TX", **[Closed]**   [Early Career Software Engineer](),-,6/10/2023
129,[Tractor Supply Company](https://www.tractorsupply.careers/job/Brentwood-IT-Development-Rotation-Program-Trainee-%28Jan-2024-Start%29-TN-37027/1007733300/?&utm_campaign=TSC_IN),"Brentwood, TN", **[Closed]**   [IT Development Rotation Program Trainee](),-,6/10/2023
130,[Meta]()," Menlo Park, CA   New York, NY   U.S. Remote", **[Closed]**   [New Grad Software Engineer](),-,6/9/2023
131,[GE Appliances](),"Louisville, KY", **[Closed]**   [Edison Engineering Development Program - Software](),-,6/7/2023
132,[GE Aeroespace]()," Dayton, OH   Grand Rapids, MI   Clearwater, FL", **[Closed]**   [Tech \| Software Development](),U.S. Citizen or Permanent Resident Required.,6/7/2023
133,[Blue Origin](https://www.blueorigin.com/careers),"Seattle, WA", **[Closed]**   [Software Engineer]()  - Must graduate by or before Summer 2023,U.S. Citizen or Permanent Resident Required.,6/3/2023
134,[PerPay](https://boards.greenhouse.io/perpay/jobs/4034578007),"Philadelphia, PA", [Software Engineer (SWE)](https://boards.greenhouse.io/perpay/jobs/4034578007),-,5/23/2023
135,[BlackRock](https://careers.blackrock.com/early-careers/americas/?2023-2024#tab-id-13)," Atlanta, GA   San Francisco, CA   New York, NY"," [SWE, PM, Quant](https://blackrock.tal.net/vx/lang-en-GB/mobile-0/brand-3/xf-232eb66ac89a/candidate/so/pm/1/pl/1/opp/7893-Analyst-Program-Americas/en-GB) - [See Desc PDF](https://static.wcn.co.uk/company/blackrock/JobDescription23/BlackRock_2023-2024_Software_Engineering_Job_Description.pdf)",-,5/20/2023
